filename,path,extension,size_bytes,mod_time_unix,source_user
latvian.lm,C:\Program Files\Microsoft Office\root\Office16\Basis\share\fingerprint,.lm,3500,1706133622,pat
sc10.bin.incr.2009.12.05.15.01.01,C:\Users\All Users\AppData\Roaming\avg9\Antispam,.01,594,1733523155,jo
CAJYV657,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\6NU83K2N,,0,1733269900,pat
agentmpx.dll,C:\Windows\msagent,.dll,49152,1681214400,charlie
java.security,C:\Program Files\Java\jre6\lib\security,.security,9979,1731785773,jo
pydoc_topics.py,C:\Program Files\Microsoft Office\root\Office16\Basis\program\python-core-2.6.1\lib,.py,404989,1713498184,jo
icon.png,C:\Program Files\Windows Sidebar\Gadgets\Stocks.Gadget,.png,7032,1635510944,terry
57551.Redundancy.Charles+Wilson.pdf,C:\Users\Jo\Desktop\Papers\Papers15,.pdf,83107,1731537266,jo
poliball.gif,C:\Program Files\Microsoft Office\root\Office16\Basis\share\gallery\bullets,.gif,945,1723746022,pat
28B2E70Ad01,C:\Users\Pat\AppData\Local\Mozilla\Firefox\Profiles\6tx4mh5h.default\Cache,,52927,1731538509,pat
pickupCAF1IHVV.asmx,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\O7EPGR2J,.asmx,593,1731447226,pat
pickupCAE3P30S.asmx,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\WXQBSVQX,.asmx,2214,1731442867,pat
ie4uinit.exe,C:\Windows\SoftwareDistribution\Download\8f6570639abf0586cc1aaf1fc76726f6\SP3QFE,.exe,173056,1729779010,pat
EditorOverride.css,C:\Program Files\Mozilla Thunderbird\res,.css,10566,1723139605,charlie
hmshow[1].gif,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\6NU83K2N,.gif,837,1731604975,pat
2009-12-05_03f21348_small.jpg,C:\Users\terry\Documents\Work\Log,.jpg,1143,1733085214,terry
Yakutat,C:\Program Files\Java\jre6\lib\zi\America,,1220,1731785774,jo
mailcap.py,C:\Python312\Lib,.py,7682,1603595260,pat
pickupCAT10M7V.asmx,C:\Users\Pat\AppData\Local\Microsoft\Windows\INetCache\2Z8HA5A9,.asmx,2000,1731445386,pat
LICENSE_es.rtf,C:\Program Files\Discord\Java\jre6,.rtf,26513,1730854620,pat
Halifax,C:\Program Files\Java\jre6\lib\zi\America,,1908,1731697157,terry
