filename,path,extension,size_bytes,mod_time_unix,source_user,source_type,label_finance,label_general,label_hr,label_it
TODO_static.md,C:\Users\melissabarry\Documents\GitHub\threex\src\threex.peppernodes\examples,.md,3307,1688710858,melissabarry,github_real,,1,1.0,
Chicod Creek TMDL Final Report.docx,Z:\Accounting\AP\Invoices\2025\Tmdl,.docx,1405091,1585418656,wjones,govdoc_real,1.0,1,,
game_over.rb,C:\Users\sanchezchristine\Desktop\Code_Review\mermaid-game,.rb,102,1733033736,sanchezchristine,github_real,,1,1.0,
G:USERSEFSPRODMILLEWICREPORTFR-COV.pdf,Z:\Accounting\AP\Invoices\2023,.pdf,346030,1560333124,dwebster,govdoc_real,1.0,1,,
globpost.pdf,Z:\Accounting\AP\Invoices\2025\Globpost,.pdf,492830,1426870712,sysadmin,govdoc_real,1.0,1,,
JAW_08292005_1-04cv224_CORRIVEAU_V_BARNHART.pdf,Z:\HR\Recruiting\Reqs\2023,.pdf,10485,1598520870,arthur13,govdoc_real,,1,1.0,
GUIWindowVideoBase.cpp,C:\Users\moorechristopher\AppData\Local\Temp\git\xbmc\xbmc\video\windows,.cpp,63899,1735170387,moorechristopher,github_real,,1,1.0,
CMS-1529-F-Web Posting version.doc,Z:\Accounting\AP\Invoices\2023,.doc,1184890,1701425632,wilsoncaitlin,govdoc_real,1.0,1,,
CompanyPayrollCostRepository.php,\\wsl$\Debian\home\natalie28\git\SemartHris\src\Repository,.php,2431,1708723438,natalie28,github_real,,1,1.0,
j.foodpol.2023.01.003,Z:\Accounting\AP\Invoices\2023\Foodpol,.003,230686,1611049554,xsanchez,govdoc_real,1.0,1,,
urls.py,C:\Users\rrodriguez\Documents\GitHub\webapp\security,.py,1479,1680653661,rrodriguez,github_real,,1,,1.0
javascript.el,\\wsl.localhost\Ubuntu\home\terry\AppData\Roaming\Mozilla\Firefox\Profiles\fdzuqcja.default\extensions\mozrepl@hyperstruct.net\chrome\content,.el,24097,1713057976,terry,system_noise,,1,1.0,
cvr.let.wpd,Z:\HR\Recruiting\Reqs\2024,.wpd,94371,1631910420,rjones,govdoc_real,,1,1.0,
platform_channel_pair.h,C:\Users\aaronsoto\Documents\GitHub\chromium-crosswalk\mojo\edk\embedder,.h,4246,1689116262,aaronsoto,github_real,,1,1.0,
ISOLATION OF NUCLEAR DNA FROM Arabidopsis lyrata-to company.docx,Z:\HR\Payroll\Cycles\2023\Arabidopsis,.docx,325058,1666291476,orivera,govdoc_real,,1,1.0,
wmap_parameters.dvi,C:\Users\sarahramirez\Downloads\Web_Files,.dvi,555745,1681579386,sarahramirez,govdoc_real,,1,1.0,
earning_type.html,D:\Websites\trufil-erpnext\public_html\erpnext\docs\current\models\hr,.html,2253,1678858686,root,github_real,,1,1.0,
New2002CVC.pdf,Z:\HR\Recruiting\Reqs\2024,.pdf,10485,1707511202,hubbardkimberly,govdoc_real,,1,1.0,
V2015.005__Added_MeterResponseData_table.sql,C:\Users\root\Documents\Audit_Logs\Scripts\osgp-adapter-ws-smartmetering\src\main\resources\db\migration,.sql,975,1709233906,root,github_real,,1,,1.0
LH7004_Baltic States Exporter Guide.pdf,Z:\Accounting\AP\Invoices\2025\Exporter\States,.pdf,73400,1663411568,andrea41,govdoc_real,1.0,1,,
30387.ThinlyTaxor.Neil+Goodrow.pdf,C:\Users\Jo\Desktop\Papers\Papers13,.pdf,132250,1731546266,jo,system_noise,1.0,1,,
Google Chrome.lnk,C:\Users\terry\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Google Chrome,.lnk,2056,1731699615,terry,system_noise,,1,1.0,
plano.py,C:\Apps\Production\djangoSIGE\djangosige\apps\financeiro\forms,.py,1165,1687106389,sysadmin,github_real,1.0,1,,
01732.009.02.03 (25-51-12)cvr.qxd,C:\Users\michael53\Documents\HR\Talent_Acquisition\Candidates,.qxd,73400,1694519924,michael53,govdoc_real,,1,1.0,
browser.jar,C:\Program Files\Mozilla Firefox\chrome,.jar,2027707,1730250976,jo,system_noise,,1,1.0,
Mest_CVlong.pdf,C:\Users\deleonmiranda\Documents\HR\Talent_Acquisition\Candidates\Cvlong\Mest,.pdf,20971,1602093058,deleonmiranda,govdoc_real,,1,1.0,
README.md,C:\Users\christina92\Desktop\Coding\ansible-role-openshift-zabbix-monitoring\vendor\openshift-tools\ansible\roles\ansible_tower_cli,.md,1063,1704544582,christina92,github_real,,1,1.0,
ThreadSearchLoggerTree.h,C:\Users\robertjensen\Documents\GitHub\codeblocks_msys2\src\plugins\contrib\ThreadSearch,.h,3445,1710709677,robertjensen,github_real,,1,1.0,
2025 Forecast Verification Report.docx,C:\Users\sarahramirez\Desktop\Expenses\Receipts_Scanned\Forecast,.docx,985661,1646580606,sarahramirez,govdoc_real,,1,1.0,
portfields new bedford.indd,Z:\Accounting\AP\Invoices\2024\Bedford,.indd,377487,1686749652,pjones,govdoc_real,1.0,1,,
TimeSpanInterface.php,C:\Users\woodcarrie\source\repos\chrono\src\TimeSpan,.php,2370,1734947893,woodcarrie,github_real,,1,1.0,
DRAFT-Revised EDR Instr v2-1_Feb_8_06 clean.docx,C:\Users\sarahramirez\Documents\Drafts\Draft,.docx,4141875,1692703248,sarahramirez,govdoc_real,,1,1.0,
