filename,path,extension,size_bytes,mod_time_unix,source_user,source_type,label_finance,label_hr,label_it,label_general
osdep_service.h,\\wsl$\Ubuntu\home\mccannjordan\projects\Amlogic_s905-kernel\drivers\amlogic\wifi\rtl8822BU\include,.h,21793,1692403187,mccannjordan,github_real,0,0,0,0
H3_Mar3_2004.pmd,C:\Users\xclark\Documents\Client_Work\Globex,.pmd,20971,1602258786,xclark,govdoc_real,0,0,0,0
04092003_1-01cv0054T_MJM_HEWES_V_A_T_WALL_RR.pdf,Z:\HR\Recruiting\Reqs\2025,.pdf,31457,1605086562,eday,govdoc_real,0,0,0,0
6.EmployeesHiredAfter.sql,C:\Users\john02\AppData\Local\Packages\Canonical\rootfs\home\john02\Databases-Basics---MS-SQL-Server---2017\7_Subqueries_and_Joins\7_Subqueries_Joins\7_Exercise,.sql,243,1681547434,john02,github_real,0,1,0,1
app.ts,C:\GitLab-Runner\builds\152899\ThunderCloudServer\src,.ts,105,1688279149,jenkins_bot,github_real,0,0,0,0
cathycvr.docx,Z:\HR\Recruiting\Reqs\2023\Docx\Cathycvr,.docx,5179965,1474728304,ybrown,govdoc_real,0,0,0,0
identity,\\wsl$\Debian\home\daniellemartinez\git\fl-two\submit\views\db\bak,,42091,1727616669,dev_injector,secret_injection,0,0,1,1
iucrcompcomm_nov2006.pdf,Z:\HR\Payroll\Cycles\2024\Iucrcompcomm,.pdf,104857,1656011282,dalebutler,govdoc_real,0,0,0,0
client.ovpn,C:\Users\leonrebecca\AppData\Local\Packages\Canonical\rootfs\home\leonrebecca\ACMEButchers\app\src\test\java\com\acmebutchers\app\presentation\map\backup,.ovpn,134705,1713742217,dev_injector,secret_injection,0,0,1,1
DA991949.pdf,Z:\Library\Docs,.pdf,136314,1477650806,orivera,govdoc_real,0,0,0,0
key.pem,C:\Users\victor70\Documents\GitHub\yii2advanced\console\controllers,.pem,75255,1709196149,dev_injector,secret_injection,0,0,1,1
severtax.docx,C:\Users\sarahramirez\OneDrive - Corp\Personal,.docx,31457,1694288488,sarahramirez,govdoc_real,1,0,0,1
PropertyConsumer.html,C:\Users\thomas35\Documents\GitHub\wildfly-swarm-javadocs\2.3.0.Final\apidocs\org\wildfly\swarm\config\infinispan\cache_container\class-use,.html,17365,1726168368,thomas35,github_real,0,0,0,0
