filename,path,extension,size_bytes,source_type,mod_time_unix,source_user
local_settings.py,C:\Users\amandajackson\source\repos,.py,1343,secret_injection,1743216116,dev_injector
web.config,C:\GitLab-Runner\builds\267750\project.dike\config,.config,1263,secret_injection,1743187663,dev_injector
.env.local,\\wsl$\Debian\home,.local,399,secret_injection,1756758052,dev_injector
local_settings.py,\\wsl$\Ubuntu\home,.py,2225,secret_injection,1757302585,dev_injector
config.json,C:\Users\amandapotts\Desktop\Code_Review\config,.json,3542,secret_injection,1752750081,dev_injector
.env,C:\Users\aws_svc\Dev\GamificationDistribution\config,.env,1821,secret_injection,1752723779,dev_injector
database.yml,C:\Work\Projects\kdepim\importwizard\config,.yml,1041,secret_injection,1766284968,dev_injector
.env.production,C:\Users\azure_agent\Dev\openui5,.production,3779,secret_injection,1738615886,dev_injector
.env.test,C:\Users\bryantcarol\source\repos,.test,382,secret_injection,1753259660,dev_injector
config.py,D:\Archive\Legacy_Projects\thunder\application,.py,3335,secret_injection,1736353435,dev_injector
.env.local,C:\Program Files\Enterprise Apps\python-pollster,.local,2283,secret_injection,1739796159,dev_injector
ormconfig.js,C:\Users\atkinsstephanie\Dev\Knigoed,.js,2134,secret_injection,1738834187,dev_injector
secrets.js,C:\Users\mccannjordan\Desktop\Code_Review,.js,3124,secret_injection,1739178000,dev_injector
credentials.json,C:\Apps\Production\easy_serializer\lib,.json,1089,secret_injection,1760975738,dev_injector
wp-config.php,C:\Work\Projects\librenms\html,.php,3949,secret_injection,1742912357,dev_injector
secrets.json,C:\Users\zsims\Documents\GitHub\config,.json,2988,secret_injection,1749821623,dev_injector
kubeconfig.yaml,C:\Work\Projects\Poseidon\src,.yaml,1506,secret_injection,1741961462,dev_injector
config.js,\\wsl$\Ubuntu\home\config,.js,2001,secret_injection,1743862045,dev_injector
config.js,C:\Apps\Production\analytics\kpi,.js,1255,secret_injection,1744996899,dev_injector
secrets.js,C:\Users\gguerrero\AppData\Local,.js,2378,secret_injection,1741558465,dev_injector
local_settings.py,C:\Users\qhamilton\Desktop\Code_Review,.py,2071,secret_injection,1738668742,dev_injector
.env.example,C:\Users\karenwilliams\source\repos,.example,2681,secret_injection,1736444727,dev_injector
wp-config.php,C:\Users\woodcarrie\source\repos,.php,3595,secret_injection,1756883398,dev_injector
config.js,C:\Users\natalie28\Downloads\service-master,.js,3045,secret_injection,1747144270,dev_injector
database.yml,C:\Users\lucasgomez\Dev\android-styled-dialogs,.yml,230,secret_injection,1762693527,dev_injector
config.js,C:\Users\jonathanjones\Dev\zabbix-slack,.js,569,secret_injection,1759434416,dev_injector
nuget.config,C:\Work\Projects\qjoypad\src,.config,2549,secret_injection,1760691835,dev_injector
config.yml,C:\Users\xtrevino\Desktop\Coding,.yml,3969,secret_injection,1737603998,dev_injector
settings.py,C:\Users\alexander76\Dev\nizza,.py,3747,secret_injection,1754486901,dev_injector
config.json,\\wsl$\Ubuntu\home,.json,1344,secret_injection,1761765870,dev_injector
auth.json,C:\Users\eric12\source\repos,.json,978,secret_injection,1762048843,dev_injector
kubeconfig.yaml,C:\Users\juanmeyer\source\repos,.yaml,1003,secret_injection,1746064987,dev_injector
app.config,C:\Users\azure_agent\AppData\Local,.config,3632,secret_injection,1757821565,dev_injector
client_secret.json,\\wsl$\Debian\home\config,.json,3658,secret_injection,1751568655,dev_injector
database.yml,C:\Work\Projects\legato-docs\19_11_3,.yml,2674,secret_injection,1742836558,dev_injector
secrets.js,C:\Users\moorechristopher\Desktop\Code_Review,.js,3330,secret_injection,1738582911,dev_injector
.env.test,\\wsl$\Ubuntu\home,.test,941,secret_injection,1740323441,dev_injector
ormconfig.js,C:\Users\qhamilton\Desktop\Coding,.js,1200,secret_injection,1761303298,dev_injector
config.php,\\wsl$\Debian\home,.php,2456,secret_injection,1735842348,dev_injector
settings.py,C:\Users\devops\source\repos,.py,3369,secret_injection,1758297806,dev_injector
.env,\\wsl$\Ubuntu\home\config,.env,317,secret_injection,1759503986,dev_injector
secrets.js,C:\Work\Projects\etl\test,.js,1477,secret_injection,1754731174,dev_injector
hibernate.cfg.xml,C:\Users\gmoore\Documents\GitHub,.xml,1384,secret_injection,1763024002,dev_injector
database.json,C:\Program Files\Enterprise Apps\xinpengliu.github.io\gc6500,.json,778,secret_injection,1750199666,dev_injector
nuget.config,C:\GitLab-Runner\builds\583874\libremail\config,.config,1248,secret_injection,1739737753,dev_injector
nuget.config,C:\Users\mahoneyzachary\AppData\Local,.config,2651,secret_injection,1752722690,dev_injector
ormconfig.js,C:\Work\Projects\android-uiconductor\backend\config,.js,395,secret_injection,1736978076,dev_injector
application.yml,\\wsl$\Debian\home,.yml,3426,secret_injection,1754705989,dev_injector
.env.test,C:\Users\brandicurtis\source\repos,.test,2573,secret_injection,1749431813,dev_injector
secrets.py,C:\Program Files\Enterprise Apps\emptymalei.github.io\_til\config,.py,2249,secret_injection,1762230778,dev_injector
ormconfig.js,C:\Users\asmith\source\repos,.js,455,secret_injection,1740777533,dev_injector
hibernate.cfg.xml,C:\Users\ernest14\Downloads\despr-master,.xml,1672,secret_injection,1763841942,dev_injector
kubeconfig.yaml,C:\Users\sanchezkenneth\Desktop\Code_Review,.yaml,610,secret_injection,1736297649,dev_injector
ormconfig.js,C:\Users\ricardo01\Documents\GitHub,.js,733,secret_injection,1749080517,dev_injector
database.yml,C:\Users\jjohnson\AppData\Local,.yml,1237,secret_injection,1747713767,dev_injector
database.json,C:\Users\zporter\Documents\GitHub,.json,2658,secret_injection,1737271674,dev_injector
settings.json,\\wsl$\Ubuntu\home,.json,724,secret_injection,1746949460,dev_injector
application.yml,C:\Work\Projects\climateDebateExplorer\ENB-data,.yml,2834,secret_injection,1735956205,dev_injector
config.yml,C:\Users\larry47\AppData\Local,.yml,1254,secret_injection,1739128312,dev_injector
kubeconfig.yaml,C:\Users\ryan90\Desktop\Coding,.yaml,3604,secret_injection,1747653176,dev_injector
hibernate.cfg.xml,C:\Users\brian62\Dev\asiboro.github.io,.xml,1043,secret_injection,1762917258,dev_injector
config.js,C:\Work\Projects\JavaVisGeekCollections\src,.js,1640,secret_injection,1758569653,dev_injector
hibernate.cfg.xml,C:\Users\olittle\source\repos,.xml,949,secret_injection,1751115930,dev_injector
client_secret.json,C:\Users\samanthahughes\Dev\jquery.flipper,.json,1335,secret_injection,1751204359,dev_injector
.env.example,C:\Users\ehunter\Downloads\ehcache3-master,.example,509,secret_injection,1738479589,dev_injector
client_secret.json,C:\Users\sromero\Documents\GitHub,.json,3881,secret_injection,1755436957,dev_injector
config.py,C:\Temp\Publish\learn-cpp\Corba,.py,3008,secret_injection,1762468045,dev_injector
kubeconfig.yaml,C:\Users\matthewdelgado\Downloads\lyrasoft.github.io-master,.yaml,1934,secret_injection,1740718986,dev_injector
secrets.js,C:\inetpub\wwwroot\ruby-gnome2\gtk3,.js,2427,secret_injection,1745682591,dev_injector
client_secret.json,C:\Users\daniellegreer\Desktop\Code_Review,.json,2571,secret_injection,1755112907,dev_injector
secrets.py,C:\Users\aaronsoto\Documents\GitHub,.py,3732,secret_injection,1753564431,dev_injector
nuget.config,C:\Users\robert42\Desktop\Code_Review,.config,2658,secret_injection,1743414758,dev_injector
config.php,\\wsl$\Debian\home,.php,854,secret_injection,1766594259,dev_injector
hibernate.cfg.xml,C:\Program Files\Enterprise Apps\kc\coeus-impl,.xml,2984,secret_injection,1754991046,dev_injector
database.yml,D:\Websites\mondo-demo-wt\public_html\MONDO-Collab,.yml,2738,secret_injection,1756619694,dev_injector
nuget.config,C:\Users\elizabethhill\Dev\BasicBlog,.config,2795,secret_injection,1750325336,dev_injector
.env.production,C:\Users\aws_svc\AppData\Local,.production,277,secret_injection,1743983754,dev_injector
app.config,\\wsl$\Debian\home,.config,1325,secret_injection,1765237452,dev_injector
web.config,\\wsl$\Ubuntu\home,.config,396,secret_injection,1766598206,dev_injector
settings.json,D:\Websites\trinitycore\public_html\sql,.json,2619,secret_injection,1740854111,dev_injector
auth.json,C:\Users\sethhunter\Downloads\js-misc-master,.json,778,secret_injection,1746209304,dev_injector
local_settings.py,C:\Users\twarner\Documents\GitHub,.py,3145,secret_injection,1757504397,dev_injector
config.yml,C:\Users\twilson\Dev\arashi,.yml,1337,secret_injection,1760464209,dev_injector
app.config,C:\Users\elizabeth78\Dev\balarco,.config,1460,secret_injection,1755480108,dev_injector
hibernate.cfg.xml,C:\Users\aws_svc\Desktop\Coding\config,.xml,775,secret_injection,1737786302,dev_injector
client_secret.json,C:\Users\admin\Desktop\Scripts\config,.json,267,secret_injection,1744180698,dev_injector
nuget.config,C:\Users\jenniferburton\Desktop\Coding\config,.config,281,secret_injection,1762753295,dev_injector
database.json,C:\Program Files\Enterprise Apps\Scholarship\jxj,.json,3188,secret_injection,1738562962,dev_injector
client_secret.json,C:\Users\francescole\Documents\GitHub,.json,2284,secret_injection,1764491140,dev_injector
.env.example,C:\Work\Projects\stdlib\lib,.example,1325,secret_injection,1751346304,dev_injector
auth.json,C:\Users\mccannjordan\Downloads\oslo.messaging-master,.json,1355,secret_injection,1763490110,dev_injector
database.json,C:\Work\Projects\tablesaw\core,.json,3501,secret_injection,1744329834,dev_injector
.env.local,C:\Users\zhanna\source\repos,.local,1382,secret_injection,1756330776,dev_injector
settings.json,C:\Users\gregorybraun\Documents\GitHub,.json,2789,secret_injection,1740572247,dev_injector
database.yml,C:\Users\nathanhoward\AppData\Local,.yml,372,secret_injection,1735636250,dev_injector
ormconfig.js,C:\Users\tharrison\Documents\GitHub\config,.js,2679,secret_injection,1767073123,dev_injector
config.js,C:\Jenkins\workspace\Primo_Build\img\config,.js,3919,secret_injection,1737130115,dev_injector
database.json,C:\Users\stephaniehill\AppData\Local\config,.json,1065,secret_injection,1761591891,dev_injector
secrets.js,C:\Users\garymoore\Downloads\Qwirkle-master\config,.js,1224,secret_injection,1746725604,dev_injector
.env.local,C:\Users\ywalter\Desktop\Coding,.local,2605,secret_injection,1762219618,dev_injector
database.php,\\wsl$\Ubuntu\home,.php,315,secret_injection,1743299342,dev_injector
config.yml,C:\Users\megangreen\Dev\coq-bench.github.io,.yml,2301,secret_injection,1762008973,dev_injector
settings.py,C:\Users\azure_agent\Dev\bad-passwords-index,.py,3083,secret_injection,1737828425,dev_injector
settings.py,C:\Users\lopezangela\AppData\Local,.py,1193,secret_injection,1749229033,dev_injector
config.php,C:\Users\steven93\source\repos,.php,531,secret_injection,1749840465,dev_injector
credentials.json,C:\Users\davidmoody\Desktop\Coding\config,.json,3823,secret_injection,1742857165,dev_injector
secrets.py,C:\Users\backup_svc\Desktop\Scripts,.py,3921,secret_injection,1760952836,dev_injector
database.json,C:\Users\jonathanjones\AppData\Local,.json,1973,secret_injection,1756722117,dev_injector
database.php,\\wsl$\Ubuntu\home,.php,3935,secret_injection,1760722365,dev_injector
application.yml,C:\Users\jacobskimberly\Downloads\force-master,.yml,467,secret_injection,1748859335,dev_injector
nuget.config,C:\Users\eric43\source\repos\config,.config,249,secret_injection,1744452969,dev_injector
database.json,C:\Users\langkaitlyn\AppData\Local,.json,1512,secret_injection,1763809260,dev_injector
secrets.js,C:\Users\aws_svc\Desktop\Coding\config,.js,1530,secret_injection,1744617455,dev_injector
.env.test,C:\Users\curtis61\Desktop\Coding,.test,1624,secret_injection,1743476653,dev_injector
database.json,\\wsl$\Ubuntu\home,.json,732,secret_injection,1738901838,dev_injector
firebase.json,C:\Users\johnsonmatthew\Desktop\Code_Review,.json,999,secret_injection,1739219446,dev_injector
local_settings.py,C:\Users\nancybaldwin\source\repos\config,.py,3244,secret_injection,1754932073,dev_injector
web.config,C:\Work\Projects\WoWPR,.config,1389,secret_injection,1757645136,dev_injector
config.php,C:\Users\sherriwilliams\Dev\doc.servo.org,.php,1387,secret_injection,1742349479,dev_injector
.env,C:\Users\lthompson\Dev\piwik,.env,3550,secret_injection,1755024498,dev_injector
.env.example,C:\Users\frivera\source\repos,.example,2682,secret_injection,1761186589,dev_injector
application.yml,C:\Users\eric43\source\repos\config,.yml,2866,secret_injection,1737431621,dev_injector
application.yml,C:\Work\Projects\spring-cloud-zookeeper\spring-cloud-zookeeper-core,.yml,1531,secret_injection,1756485562,dev_injector
config.js,\\wsl$\Ubuntu\home,.js,1645,secret_injection,1763138037,dev_injector
local_settings.py,C:\Users\rrodriguez\AppData\Local,.py,3619,secret_injection,1766840610,dev_injector
client_secret.json,C:\GitLab-Runner\builds\731729\Portfolio\config,.json,3055,secret_injection,1756303738,dev_injector
config.php,C:\Work\Projects\Fastcgi-Daemon\include\config,.php,3471,secret_injection,1757251489,dev_injector
.env.test,C:\GitLab-Runner\builds\474677\doriancoin,.test,3285,secret_injection,1744716924,dev_injector
secrets.js,C:\Users\vlong\Documents\GitHub,.js,1724,secret_injection,1744003452,dev_injector
.env.test,C:\Users\cloud_user\AppData\Local,.test,1817,secret_injection,1744782698,dev_injector
secrets.js,C:\Work\Projects\FlashLib\flashlib.vision.core,.js,3107,secret_injection,1747388624,dev_injector
hibernate.cfg.xml,C:\Work\Projects\cdnjs\ajax\config,.xml,3000,secret_injection,1743287606,dev_injector
config.php,C:\Work\Projects\DToolsZ\DToolsZ\config,.php,235,secret_injection,1741853463,dev_injector
application.yml,C:\Users\morrissusan\Documents\GitHub,.yml,2279,secret_injection,1765556273,dev_injector
web.config,C:\Users\karenbarnes\AppData\Local,.config,704,secret_injection,1737837413,dev_injector
config.json,C:\Users\vramirez\Desktop\Code_Review,.json,3741,secret_injection,1741913423,dev_injector
config.js,C:\Users\admin\Documents\Audit_Logs,.js,609,secret_injection,1750515884,dev_injector
config.py,C:\Users\kevin41\Dev\anet,.py,3511,secret_injection,1749468385,dev_injector
database.yml,C:\Program Files\Enterprise Apps\community-edition\projects\config,.yml,3502,secret_injection,1762756529,dev_injector
app.config,D:\Websites\opentelemetry-php\public_html\src,.config,2431,secret_injection,1742222945,dev_injector
config.json,C:\Users\walkerdarlene\Desktop\Coding,.json,3824,secret_injection,1753903343,dev_injector
secrets.json,\\wsl$\Debian\home,.json,977,secret_injection,1755936133,dev_injector
.env.local,C:\Users\ariel00\Dev\chat-sdk-android,.local,2209,secret_injection,1745095257,dev_injector
local_settings.py,\\wsl$\Ubuntu\home,.py,2362,secret_injection,1738499829,dev_injector
.env.production,C:\Users\collinscarlos\source\repos,.production,266,secret_injection,1749248441,dev_injector
.env.test,\\wsl$\Debian\home,.test,1550,secret_injection,1756325568,dev_injector
database.yml,C:\Work\Projects\uml-utilities\uml_net,.yml,1641,secret_injection,1753092138,dev_injector
config.py,C:\Users\jgomez\Desktop\Coding,.py,2441,secret_injection,1737604381,dev_injector
credentials.json,C:\Users\sheilacampbell\Dev\devtreks,.json,256,secret_injection,1758049318,dev_injector
.env.local,C:\Users\osborngeorge\source\repos\config,.local,301,secret_injection,1739726962,dev_injector
ormconfig.js,C:\Users\elizabethhill\AppData\Local\config,.js,1464,secret_injection,1756580444,dev_injector
firebase.json,C:\Users\garymoore\source\repos,.json,3843,secret_injection,1762812175,dev_injector
settings.json,C:\Users\backup_svc\OneDrive - Corp\Backups,.json,345,secret_injection,1754173516,dev_injector
local_settings.py,C:\Users\gary29\Desktop\Coding\config,.py,1870,secret_injection,1765846433,dev_injector
config.json,C:\Users\colekenneth\Desktop\Code_Review\config,.json,2087,secret_injection,1742124694,dev_injector
auth.json,C:\Users\scottwright\Documents\GitHub\config,.json,2600,secret_injection,1749066586,dev_injector
application.yml,C:\Users\collinscarlos\Desktop\Coding\config,.yml,2008,secret_injection,1751171780,dev_injector
client_secret.json,C:\Users\woodskayla\Desktop\Coding\config,.json,2466,secret_injection,1738677679,dev_injector
web.config,C:\Work\Projects\lookit-api\studies,.config,2610,secret_injection,1749428531,dev_injector
client_secret.json,C:\Users\karenbarnes\Dev\au-linux-kernel-autumn-2017,.json,486,secret_injection,1738343721,dev_injector
web.config,C:\Users\beltrandoris\Documents\GitHub\config,.config,1928,secret_injection,1746435210,dev_injector
hibernate.cfg.xml,\\wsl$\Ubuntu\home,.xml,2808,secret_injection,1763060496,dev_injector
database.yml,C:\Users\gail68\Dev\cos482-qualidade-de-software\config,.yml,3640,secret_injection,1760715245,dev_injector
secrets.json,C:\Users\ymora\source\repos,.json,2349,secret_injection,1739293816,dev_injector
config.yml,\\wsl$\Debian\home\config,.yml,3646,secret_injection,1754128163,dev_injector
database.yml,C:\Users\sanchezkenneth\AppData\Local\config,.yml,230,secret_injection,1756751770,dev_injector
web.config,\\wsl$\Ubuntu\home,.config,1027,secret_injection,1765624854,dev_injector
.env.example,C:\Temp\Publish\weibo4j\src,.example,2576,secret_injection,1766357227,dev_injector
secrets.js,C:\Users\rachelbennett\AppData\Local,.js,2779,secret_injection,1753803877,dev_injector
ormconfig.js,C:\Work\Projects\chromium.src\third_party,.js,3345,secret_injection,1741749232,dev_injector
database.yml,C:\Users\aking\Documents\GitHub,.yml,3836,secret_injection,1760156936,dev_injector
auth.json,C:\GitLab-Runner\builds\625225\oh-mainline,.json,2032,secret_injection,1737771123,dev_injector
auth.json,C:\Users\susan61\Desktop\Coding\config,.json,3132,secret_injection,1738115839,dev_injector
config.php,C:\Users\db_admin\Desktop\Code_Review,.php,3736,secret_injection,1757532317,dev_injector
credentials.json,C:\Users\zbranch\Downloads\mod-fconn-master,.json,2696,secret_injection,1747357417,dev_injector
