filename,path,extension,size_bytes,mod_time_unix,source_user,source_type,label_finance,label_hr,label_it,label_general,recency_score,size_logged,name_len,path_len,path_depth,valuable_ext,junk_ext
MDPI-WINDEX Rpt.docx,C:\Users\omiller\Desktop\Writing\Windex\Docx,.docx,576716,1744224852.0,omiller,govdoc_real,0,0,0,0,0.5782523006322269,13.265106957233886,20,44,6,0,0
README.md,\\wsl$\Debian\home\torreselaine\git\CSS.NLogExtensions,.md,217,1751012681.0,torreselaine,github_real,0,0,0,0,0.6604547424413943,5.384495062789089,9,54,7,0,0
identity,C:\Users\martin05\Desktop\Coding\puroextremo.com.ve\modules\categoryslider,,64074,1755963543.0,dev_injector,secret_injection,0,0,1,1,0.7368558810975928,11.067809551232273,8,74,7,0,0
settings.py,C:\Work\Projects\Mixly_Arduino\mixly_arduino\blockly\generators\microbit_js\k8s\charts\templates\hooks,.py,1773,1739565922.0,structural_toxic_gen,dependency_noise,0,0,0,0,0.5327415964388481,7.480992162869525,11,102,11,0,0
17acad98.lib,C:\Work\Projects\opensplice\src\api\dcps\java\saj\code\DDS\cmake\external\project\include,.lib,103820,1735757291.0,structural_toxic_gen,dependency_noise,0,0,0,0,0.5005371934164058,11.550423541390312,12,89,14,0,0
SMBernard_cv_07.docx,C:\Users\arthur13\Documents\HR\Talent_Acquisition\Candidates\Smbernard,.docx,178257,1565408089.0,arthur13,govdoc_real,0,0,0,0,0.1351425991614928,12.090987218054844,20,70,7,0,0
db.sqlite3,C:\Users\qhamilton\Desktop\Code_Review\rubocop\lib\rubocop\formatter\old,.sqlite3,94530,1755496059.0,dev_injector,secret_injection,0,0,1,1,0.7288941562062058,11.456683102015756,10,72,9,0,0
Recruiter_Workload_Report.xlsx,Z:\HR\Recruiting\Metrics,.xlsx,41943,1613648991.0,sara02,chatGPT_HR,0,0,0,0,0.17036116648326208,10.644090674252368,30,24,3,0,0
AGS Paper - Flexible Shielding of INL GB - Draft B.doc,C:\Users\ryanjohnson\Documents\Research\Papers,.doc,996147,1765173931.0,ryanjohnson,govdoc_real,0,0,0,0,0.9389160051565352,13.811651119905195,54,46,5,0,0
requirements.txt,C:\Users\sward\AppData\Local\Temp\git\private-configs\sublime-text-3\Packages\SublimePythonIDE\server\.git\objects\pack,.txt,2212,1658166581.0,structural_toxic_gen,dependency_noise,0,0,0,0,0.22430382117591238,7.70210434005105,16,119,14,0,0
README.md,C:\Users\dana56\Dev\backbone\life\Plantae\Pteridophyta\Polypodiopsida\Polypodiales\Pteridaceae\Pteris\Pteris yakusimensis,.md,176,1724482550.0,dana56,github_real,0,0,0,0,0.42456116495835633,5.176149732573829,9,121,12,0,0
arrowsquare[1].gif,C:\Users\Administrator\AppData\Local\Microsoft\Windows\INetCache\8PYRKL67,.gif,1041,1745259310.0,charlie,system_noise,0,0,0,0,0.5894327140015876,6.948897222313312,18,73,8,0,0
020dad9c.tmp,C:\Users\collinscarlos\Documents\GitHub\SocketPlay\node_modules\react-dom\src\main,.tmp,174953,1638764876.0,structural_toxic_gen,dependency_noise,0,0,0,0,0.19710403570513105,12.0722783612098,12,82,9,0,1
d90b5ead.lcl,C:\Work\Projects\pinguino-compilers\windows64\p8\share\sdcc\non-free\include\pic14\docker\build\context\temp_config,.lcl,117503,1753906718.0,structural_toxic_gen,dependency_noise,0,0,0,0,0.7030672826204292,11.674227654540108,12,115,14,0,1
_C_b3Ze5BDHuc-8zv37O2ppLPLlVF0yEXS43406l7apzpmvmZRgmhKSigEjgDJ-XsFtQ-S4kyMQU6bzah6o_08lr6ra5.dat,C:\Users\Administrator\AppData\Local\Temp\AVGDownloadManager,.dat,24812,1755749770.0,synthetic_noise,long_name_injector,0,0,0,0,0.733193635332419,10.119122988360017,96,60,6,0,0
ML052420525.docx,C:\Users\leejohnny\Documents\Drafts\Docx,.docx,534773,1758117176.0,leejohnny,govdoc_real,0,0,0,0,0.7758997888615669,13.189599506722953,16,40,5,0,0
README.md,C:\Users\spencer31\Dev\backbone\life\Plantae\Magnoliophyta\Magnoliopsida\Caryophyllales\Caryophyllaceae\Lepigonum\Lepigonum rubrum\Lepigonum rubrum rubrum,.md,170,1755680062.0,spencer31,github_real,0,0,0,0,0.7320072927758521,5.14166355650266,9,154,13,0,0
DfE General Screen for Safer Ingredients 2.3.09.doc,Z:\HR\Recruiting\Reqs\2023\Screen,.doc,157286,1764174592.0,nrodriguez,govdoc_real,0,1,0,1,0.9117874549888791,11.965827441003015,51,33,5,0,0
041933c7.pyi,C:\Jenkins\workspace\pamflorest_Build\assets\css\__pycache__\v3.11\,.pyi,40281,1742927117.0,structural_toxic_gen,dependency_noise,0,0,0,0,0.5648122505226744,10.603659998032827,12,67,8,0,1
081-Wilson_rf_Abs.docx,C:\Users\sarahramirez\Desktop\Writing\Wilson,.docx,157286,1750695976.0,sarahramirez,govdoc_real,0,0,0,0,0.6561029978514373,11.965827441003015,22,44,5,0,0
dump.sql,C:\Users\woodcarrie\source\repos\FNET\fnet_demos\common\startup\MIMXRT1062\drivers,.sql,83762,1762476550.0,dev_injector,secret_injection,0,0,1,1,0.8691182732282304,11.33574666152193,8,82,10,1,0
chapter16-printable.pdf,C:\Users\sandersanthony\Documents\Reference\PDFs\Printable,.pdf,356515,1747425326.0,sandersanthony,govdoc_real,0,0,0,0,0.6143024715817903,12.784134398614789,23,58,6,0,0
group_amount_E8V43MUAkwDd0CN8yTlHwAYfsJkzdcuu2ZaBFZEiyo25sbT7y3HMzIcPZZVxs23JTHJiFOw2Ia_nCq_9Rl1itiUB7AzfX0vkkltB5jiFZFcrn4bkc1TWwOlwX9Ny5OibQAbh2vl4QY26_CRYKbzlOUp_9LCN.cache,C:\Users\ybrown\Desktop\Review_Queue,.cache,39786,1742697500.0,synthetic_noise,long_name_injector,0,0,0,0,0.5624989966841526,10.591295504750468,175,36,4,0,1
requirements.txt,C:\Users\jessicawalters\Dev\tapestry3\tapestry-examples\VlibBeans\src\org\apache\tapestry\vlib\ejb\impl\.vscode\pylance\dist\out\client,.txt,2896773,1766853278.0,structural_toxic_gen,dependency_noise,0,0,0,0,0.9883315079996998,14.879108261972135,16,135,18,0,0
.env.local,\\wsl$\Ubuntu\home\admin\auth-service,.local,2594,1760576279.0,dev_injector,secret_injection,0,0,1,1,0.8258670917025943,7.861341795599989,10,37,6,0,0
private.key,C:\Users\sandraedwards\source\repos\SoftUni\Java-DB-Fundamentals\DatabasesFrameworks-Hibernate&SpringData\EXAMS\exam\src\main\java\softuni\io\k8s\overlays\production\hooks,.key,107952,1761113842.0,structural_toxic_gen,dependency_noise,0,0,0,0,0.8376594430935302,11.589451226200618,11,171,18,1,0
config.php,C:\Users\francopaula\Desktop\Coding,.php,483,1741710511.0,dev_injector,secret_injection,0,0,1,1,0.5527677131631966,6.182084906716632,10,35,4,0,0
local_settings.py,C:\Apps\Production\CookieVLC\vlc\config,.py,1840,1725879412.0,dev_injector,secret_injection,0,0,0,0,0.43269831580797213,7.518064181233078,17,39,5,0,0
Fxk_MzLyviOHjus1zmdTLLDjcgbVFoC50kLG_2vSAwArGwD5RxpiUMCfpegksz5NgM7cb4fZtrwwlIyv50w_c8vkyoxn.dat,C:\Users\oliviabonilla\Desktop\Code_Review\cdnjs\ajax\libs\redux-little-router,.dat,18000,1766498062.0,synthetic_noise,long_name_injector,0,0,0,0,0.9774501482137513,9.798182590890704,96,78,8,0,0
2586f39f.so,\\wsl$\Ubuntu\home\devops\projects\eshoper\assets\backEnd\img\ios-style-checkboxes\.git\logs\refs\tags,.so,41570,1745002984.0,structural_toxic_gen,dependency_noise,0,0,0,0,0.5866222448881496,10.635158087766825,11,102,15,0,0
id_dsa,C:\Users\meyermichelle\source\repos\rtems-rumpkernel\cpukit\posix\src,,45389,1740615164.0,dev_injector,secret_injection,0,0,1,1,0.5423548229164037,10.72304709545051,6,69,8,0,0
CMakeLists.txt,C:\GitLab-Runner\builds\336823\donut\library\assets\css\vendors\__pycache__\v3.10\,.txt,849511,1761116780.0,structural_toxic_gen,dependency_noise,0,0,0,0,0.8377248184477971,13.652417345950798,14,82,11,0,0
FLCFX8NbjUthAtBU_NVJ4TF7m4aiydlEazoymRJxKnq8jJA1lCdEn8QeBUpKNKWjLnpIVLTZYhL5-puM-7WRY4NlehsXxzFw28C_9mo7C1cU2vDYX9MTP_c2UZXpVw_qm6pVGC7-qyQgSNl6G-_hospital_leader.docx,C:\Users\sandersanthony\Desktop,.docx,6256,1705614996.0,synthetic_noise,long_name_injector,0,0,0,0,0.3385630677421154,8.741456115998364,167,31,3,0,0
s_code_dell_vh20_6[1].js,C:\Users\Administrator\AppData\Local\Microsoft\Windows\INetCache\8PYRKL67,.js,49278,1712848481.0,charlie,system_noise,0,0,0,0,0.3670685032398835,10.80525330579372,24,73,8,0,0
ShortTimeProcessImpl.cpp,C:\Users\kristinapatterson\Downloads\dspone-master\src\dspone\rt,.cpp,9276,1766991543.0,kristinapatterson,github_real,0,0,0,0,0.9926327799789594,9.135293497653272,24,64,7,0,0
keystore.json,C:\Users\davidmay\Downloads\ReusedPrinter-master\external\embree\kernels\xeon\bvh,.json,89460,1751627386.0,dev_injector,secret_injection,0,0,1,1,0.6690681210892793,11.401558055104555,13,81,9,0,0
